Canoe Variant,Loadcase 1 Score,Loadcase 2 Score,Loadcase 3 Score,Average Score
"(5.7, 2.0, 2.75, 1.0, 0.8, 2.0, 1.0, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",2.491473953,3.21621461,3.260093988,2.98926085
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.2, 0.2, 0.18, 0.8, 16.0)",3.233627634,3.035091244,2.694086377,2.987601752
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.0, 0.2, 0.18, 0.8, 16.0)",3.233627634,3.035091244,2.694086377,2.987601752
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.0, 0.0, 0.18, 0.8, 16.0)",3.064364126,2.694086377,3.159685609,2.972712038
"(5.7, 2.0, 2.75, 1.0, 0.65, 2.0, 1.0, 0.3, 0.2, 0.0, 0.18, 0.8, 16.0)",3.064364126,2.694086377,3.159685609,2.972712038
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.0, 0.0, 0.18, 0.6, 16.0)",2.729007203,2.74573531,3.442314933,2.972352482
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.25, 0.4, 0.2, 0.0, 0.18, 0.6, 16.0)",2.729007203,2.74573531,3.442314933,2.972352482
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.2, 0.2, 0.18, 0.6, 16.0)",2.87324033,2.694086377,3.334000973,2.967109227
"(5.7, 2.0, 2.75, 1.0, 0.65, 1.5, 1.0, 0.4, 0.0, 0.2, 0.18, 0.6, 16.0)",2.87324033,2.694086377,3.334000973,2.967109227
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.2, 0.2, 0.18, 0.8, 16.0)",2.880165514,2.776199219,3.202074338,2.952813024
"(5.7, 2.0, 2.75, 1.0, 0.8, 1.5, 1.0, 0.4, 0.0, 0.2, 0.18, 0.8, 16.0)",2.880165514,2.776199219,3.202074338,2.952813024
